year	mouth	birth
2017	1	84740
2017	2	75989
2017	3	81942
2017	4	83408
2017	5	83827
2017	6	83200
2017	7	88612
2017	8	86344
2017	9	86832
2017	10	85825
2017	11	80659
2017	12	84299
2016	1	83572
2016	2	73897
2016	3	79340
2016	4	78834
2016	5	83310
2016	6	81401
2016	7	89516
2016	8	87732
2016	9	90309
2016	10	88592
2016	11	80993
2016	12	86043
2015	1	85853
2015	2	77066
2015	3	82997
2015	4	81856
2015	5	85297
2015	6	82397
2015	7	91467
2015	8	92118
2015	9	90618
2015	10	90667
2015	11	83126
2015	12	86354
2014	1	87680
2014	2	81469
2014	3	83749
2014	4	81718
2014	5	85841
2014	6	83451
2014	7	90537
2014	8	90906
2014	9	89758
2014	10	90438
2014	11	85577
2014	12	86107
2013	1	88492
2013	2	79755
2013	3	87512
2013	4	85254
2013	5	86491
2013	6	87266
2013	7	91383
2013	8	93066
2013	9	92497
2013	10	89180
2013	11	84667
2013	12	85243
2012	1	90577
2012	2	81334
2012	3	87853
2012	4	87312
2012	5	86721
2012	6	89532
2012	7	93040
2012	8	92467
2012	9	92104
2012	10	92270
2012	11	88225
2012	12	89869
2011	1	91320
2011	2	80924
2011	3	87865
2011	4	87207
2011	5	87241
2011	6	87313
2011	7	93968
2011	8	91793
2011	9	92075
2011	10	92997
2011	11	85752
2011	12	91580
2009	1	91675
2009	2	85021
2009	3	89185
2009	4	88047
2009	5	91523
2009	6	87541
2009	7	94982
2009	8	93720
2009	9	95118
2009	10	94630
2009	11	87388
2009	12	92326
2008	1	91885
2008	2	81794
2008	3	89701
2008	4	87369
2008	5	91894
2008	6	88833
2008	7	94050
2008	8	94487
2008	9	92946
2008	10	96066
2008	11	89689
2008	12	91104
2007	1	90977
2007	2	82851
2007	3	90903
2007	4	87981
2007	5	92228
2007	6	89773
2007	7	93813
2007	8	95200
2007	9	93137
2007	10	93524
2007	11	90053
2007	12	92234
